Type	Gene	Text
TextMining	UBA6	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	ULBP1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	UNG	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	VPS9D1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	VSTM2B	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	WRN	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	XRCC2	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	XRCC5	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	ZFP37	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	ZNF311	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	ZNF536	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	XRCC6	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY
TextMining	H2AFX	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,ATAXIA WITH OCULOMOTOR APRAXIA TYPE 2
TextMining	AFP	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,ATAXIA WITH OCULOMOTOR APRAXIA TYPE 2,CEREBELLAR ATAXIA,ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,FRIEDREICH ATAXIA
TextMining	LIG1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,CEREBELLAR ATAXIA
TextMining	ATM	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,CEREBELLAR ATAXIA,ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,ATAXIA WITH OCULOMOTOR APRAXIA TYPE 2
TextMining	MRE11A	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPASTIC ATAXIA
TextMining	DEK	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1
TextMining	PRKDC	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY
TextMining	HIST2H2AA3	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY,SPINOCEREBELLAR ATAXIA TYPE 7
TextMining	HIST2H2AC	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY,SPINOCEREBELLAR ATAXIA TYPE 7
TextMining	KAT5	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	XRCC4	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY,HEREDITARY ATAXIA
TextMining	TH	ATAXIA TELANGIECTASIA,HEREDITARY ATAXIA
TextMining	GCH1	ATAXIA TELANGIECTASIA,HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,EPISODIC ATAXIA
TextMining	HDAC4	ATAXIA TELANGIECTASIA,HEREDITARY ATAXIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 2,SPINOCEREBELLAR ATAXIA TYPE 1
TextMining	DRD2	ATAXIA TELANGIECTASIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	DCPS	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1
TextMining	NCL	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1
TextMining	NPM1	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1
TextMining	POLL	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1
TextMining	UBTF	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1
TextMining	FHIT	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	POLB	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	HINT1	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	LIG3	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	APTX	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,CEREBELLAR ATAXIA,ATAXIA WITH OCULOMOTOR APRAXIA TYPE 2,ATAXIA TELANGIECTASIA,FRIEDREICH ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY,CHARLEVOIX-SAGUENAY SPASTIC ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,SPASTIC ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 14
TextMining	FEN1	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 7,FRIEDREICH ATAXIA
TextMining	CNOT3	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	PNKP	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY,HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,FRIEDREICH ATAXIA,CEREBELLAR ATAXIA,ATAXIA TELANGIECTASIA
TextMining	ALS2	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 2
TextMining	KIF11	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 2,ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1
TextMining	BCYRN1	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 2,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	SETX	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 2,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,HEREDITARY ATAXIA,CEREBELLAR ATAXIA,ATAXIA TELANGIECTASIA,FRIEDREICH ATAXIA,CHARLEVOIX-SAGUENAY SPASTIC ATAXIA,SPASTIC ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 31,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 17,SPINOCEREBELLAR ATAXIA TYPE 2,EPISODIC ATAXIA
TextMining	PIK3R5	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 2,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,ATAXIA TELANGIECTASIA
TextMining	FGF8	ATAXIA WITH OCULOMOTOR APRAXIA TYPE 2,CEREBELLAR ATAXIA
TextMining	AMFR	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	ANO6	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	APP	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	BAG5	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	BAI1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	CLINT1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	CSNK2A2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	DCX	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	DERL3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	DGKB	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	ENSG00000251246	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	FGF12	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	GAPDH	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	hsa-miR-543	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	HSPB7	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	IPO13	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	JAK2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	KPNA3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	KPNA4	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	LAX1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	MCF2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	MCU	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	MRO	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	MYCL1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	NDUFA4	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	NFYB	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	NR2E1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	P2RY13	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	PARP14	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	PLEK	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	RAI1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	RGS17	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	RPA3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	SERPINI1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	SNAP29	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	SNAP91	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	SQSTM1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	SRSF4	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	TDP2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	THSD7A	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	TRIT1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	UBD	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	UFD1L	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	HCRT	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, DEAFNESS AND NARCOLEPSY
TextMining	HDAC2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, DEAFNESS AND NARCOLEPSY
TextMining	DNMT1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, DEAFNESS AND NARCOLEPSY,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,CEREBELLAR ATAXIA
TextMining	NAA50	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA, DEAFNESS AND NARCOLEPSY,HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	SAR1B	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,CEREBELLAR ATAXIA
TextMining	TTR	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	SCAI	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,FRIEDREICH ATAXIA,CEREBELLAR ATAXIA,HEREDITARY ATAXIA,EPISODIC ATAXIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	MARCH5	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	AATK	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	ACY3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	AFF3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	ATG16L2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	ATG4A	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	ATXN3L	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	BAG2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	BAIAP2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	BAIAP2L1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	BECN1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	C11orf73	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	C2orf47	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CA11	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CHDH	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	CNKSR2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	COQ4	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	DLST	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	DNAJC7	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	DNAJC8	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	F13A1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	FERD3L	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	FUZ	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	GNL2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	GOLGA3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	GPR26	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	hsa-miR-29a-3p	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	HSPB11	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	JOSD1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	JOSD2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	KEL	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	KIF26B	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	LIN28A	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	MAGI1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	MANF	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	NBR1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	OLFM1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	PAIP2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	PHF14	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	PLEKHM1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	POU5F1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	PPP1R1B	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RAD23B	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RERE	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RGS20	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RPPH1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	SELRC1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	SLC45A1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	SLC52A2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	SOGA2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	SP4	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	TAF4	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	TCTE1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	TLE2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	TMC3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	UBA52	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	UBB	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	UBE4B	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	VCP	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	WBP11	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	YIPF6	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RAD23A	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	TMEM185A	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,CEREBELLAR ATAXIA
TextMining	ATXN3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 2,SPINOCEREBELLAR ATAXIA TYPE 1,FRIEDREICH ATAXIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 6,EPISODIC ATAXIA TYPE 2,SPINOCEREBELLAR ATAXIA TYPE 7,SPINOCEREBELLAR ATAXIA TYPE 31,EPISODIC ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 17,SPINOCEREBELLAR ATAXIA TYPE 8,SPINOCEREBELLAR ATAXIA TYPE 18,SPINOCEREBELLAR ATAXIA TYPE 12,SPASTIC ATAXIA
TextMining	SYN1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1
TextMining	AR	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	AFF2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1,FRIEDREICH ATAXIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 6,FRAGILE X-ASSOCIATED TREMOR/ATAXIA SYNDROME,X-LINKED HEREDITARY ATAXIA,CEREBELLAR ATAXIA
TextMining	HTT	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1,SPINOCEREBELLAR ATAXIA TYPE 17,SPINOCEREBELLAR ATAXIA TYPE 2,SPINOCEREBELLAR ATAXIA TYPE 7,SPINOCEREBELLAR ATAXIA TYPE 8,FRIEDREICH ATAXIA
TextMining	FUS	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1,SPINOCEREBELLAR ATAXIA TYPE 31,SPINOCEREBELLAR ATAXIA TYPE 2
TextMining	HSP90AA1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 14
TextMining	HSPA4	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 14,SPINOCEREBELLAR ATAXIA TYPE 1,SPINOCEREBELLAR ATAXIA TYPE 7,SPINOCEREBELLAR ATAXIA TYPE 17
TextMining	JPH3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 17,SPINOCEREBELLAR ATAXIA TYPE 2,FRIEDREICH ATAXIA
TextMining	PARK2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 2
TextMining	PVALB	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 2,CEREBELLAR ATAXIA
TextMining	ATN1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 2,CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 17,SPINOCEREBELLAR ATAXIA TYPE 6,SPINOCEREBELLAR ATAXIA TYPE 7,SPINOCEREBELLAR ATAXIA TYPE 1
TextMining	SLC6A3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 2,SPINOCEREBELLAR ATAXIA TYPE 6,CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1 WITH AXONAL NEUROPATHY,ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,ATAXIA WITH OCULOMOTOR APRAXIA TYPE 1,SPINOCEREBELLAR ATAXIA TYPE 17
TextMining	RBFOX3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 36,CEREBELLAR ATAXIA
TextMining	KCNN3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 6,SPINOCEREBELLAR ATAXIA TYPE 2
TextMining	DNAJB1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 6,SPINOCEREBELLAR ATAXIA TYPE 7
TextMining	CREBBP	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 7
TextMining	HDAC3	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 7
TextMining	PML	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 7
TextMining	SUMO1	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,HEREDITARY ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 7,SPINOCEREBELLAR ATAXIA TYPE 1
TextMining	ST13	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 1,HEREDITARY ATAXIA
TextMining	SLC18A2	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 2,HEREDITARY ATAXIA
TextMining	PDYN	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 23,HEREDITARY ATAXIA,CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 6,SPINOCEREBELLAR ATAXIA TYPE 4,FRIEDREICH ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 7,SPINOCEREBELLAR ATAXIA TYPE 1,SPINOCEREBELLAR ATAXIA TYPE 2,SPINOCEREBELLAR ATAXIA TYPE 28,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 36,SPINOCEREBELLAR ATAXIA TYPE 15,SPINOCEREBELLAR ATAXIA TYPE 31,SPINOCEREBELLAR ATAXIA TYPE 8,EPISODIC ATAXIA,EPISODIC ATAXIA TYPE 2
TextMining	HSPA1A	AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,SPINOCEREBELLAR ATAXIA TYPE 6
