Type	Gene	Text
TextMining	ISG20	ATAXIA TELANGIECTASIA
TextMining	LYN	ATAXIA TELANGIECTASIA
TextMining	LYPD1	ATAXIA TELANGIECTASIA
TextMining	MGST1	ATAXIA TELANGIECTASIA
TextMining	MYLK	ATAXIA TELANGIECTASIA
TextMining	NCAM1	ATAXIA TELANGIECTASIA
TextMining	NEIL3	ATAXIA TELANGIECTASIA
TextMining	OBFC1	ATAXIA TELANGIECTASIA
TextMining	PPM1D	ATAXIA TELANGIECTASIA
TextMining	PPP1CC	ATAXIA TELANGIECTASIA
TextMining	PTCH1	ATAXIA TELANGIECTASIA
TextMining	RARS2	ATAXIA TELANGIECTASIA
TextMining	RGCC	ATAXIA TELANGIECTASIA
TextMining	RPS23	ATAXIA TELANGIECTASIA
TextMining	RPS6KB1	ATAXIA TELANGIECTASIA
TextMining	SESN1	ATAXIA TELANGIECTASIA
TextMining	SH2D1A	ATAXIA TELANGIECTASIA
TextMining	STMN2	ATAXIA TELANGIECTASIA
TextMining	TP53AIP1	ATAXIA TELANGIECTASIA
TextMining	ULBP3	ATAXIA TELANGIECTASIA
TextMining	UQCRFS1	ATAXIA TELANGIECTASIA
TextMining	DCAF17	ATAXIA TELANGIECTASIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
TextMining	SPR	ATAXIA TELANGIECTASIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	AMICA1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	APRT	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	ATRIP	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	ATRX	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	AVEN	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	BAZ1B	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	CDK1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	DBF4	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	FANCC	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	GYPA	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	HTR1E	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	MCAT	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	MMP3	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	NUAK2	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	PCAT4	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	PDK2	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	PLEKHF1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	PSMC3	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	RAD54B	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	RPS15A	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	SF3B4	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
TextMining	SLC38A4	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA
